Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,48.797,49.644,48.415,49.223
2010-01-05,49.526,50.676,49.489,50.627
2010-01-06,50.962,51.722,50.814,51.551
2010-01-07,51.596,52.623,51.439,52.344
2010-01-08,51.972,52.438,51.784,51.96
2010-01-11,52.522,52.718,52.13,52.262
2010-01-12,52.375,52.73,51.247,51.373
2010-01-13,51.433,51.887,50.96,51.866
2010-01-14,51.887,52.227,51.376,51.895
2010-01-15,52.094,52.191,51.663,51.835
2010-01-18,52.249,52.392,51.887,51.959
2010-01-19,52.13,52.662,52.065,52.64
2010-01-20,52.662,52.848,51.02,51.387
2010-01-21,51.616,51.629,50.174,50.701
2010-01-22,50.449,50.547,48.843,48.843
2010-01-25,49.559,49.591,48.912,49.36
2010-01-26,49.39,49.474,47.586,48.539
2010-01-27,48.671,48.805,47.922,47.999
2010-01-28,47.96,48.617,46.848,47.074
2010-01-29,47.006,47.314,46.56,46.997
2010-02-01,47.064,47.43,46.643,47.344
2010-02-02,47.424,47.989,47.389,47.542
2010-02-03,47.644,47.857,46.854,46.871
2010-02-04,46.929,47.497,45.469,45.678
2010-02-05,45.461,45.568,44.158,44.595
2010-02-08,45.342,45.574,44.744,45.42
2010-02-09,45.273,45.685,45.058,45.588
2010-02-10,45.817,45.951,44.801,45.068
2010-02-11,45.286,46.013,44.89,45.582
2010-02-12,45.828,45.983,45.109,45.713
2010-02-15,45.629,46.101,45.584,46.039
2010-02-16,46.394,46.85,46.218,46.738
2010-02-17,46.868,47.202,46.507,46.932
2010-02-18,46.315,47.679,46.034,47.099
2010-02-19,47.104,48.436,46.846,48.245
2010-02-22,47.983,48.118,47.048,47.417
2010-02-23,47.232,47.477,46.395,46.9
2010-02-24,46.869,46.985,46.214,46.593
2010-02-25,46.734,47.483,46.357,47.464
2010-02-26,47.333,47.536,46.926,47.457
2010-03-01,48.108,48.424,47.661,47.856
2010-03-02,47.468,48.822,47.443,48.783
2010-03-03,48.663,49.352,48.638,49.02
2010-03-04,48.804,49.511,48.776,49.311
2010-03-05,49.22,49.71,49.024,49.445
2010-03-08,49.319,49.498,48.605,48.922
2010-03-09,48.71,49.438,48.525,49.386
2010-03-10,49.5,49.973,48.29,48.611
2010-03-11,48.182,48.983,48.106,48.836
2010-03-12,48.896,49.026,47.904,48.178
2010-03-15,48.262,48.766,48.083,48.68
2010-03-16,48.907,49.385,48.65,49
2010-03-17,49.005,49.352,48.764,49.061
2010-03-18,49.207,49.849,49.132,49.531
2010-03-19,49.362,49.756,48.797,48.882
2010-03-22,48.758,48.955,48.177,48.575
2010-03-23,48.675,49.065,48.285,48.866
2010-03-24,48.884,48.926,48.251,48.296
2010-03-25,48.631,49.006,48.332,48.47
2010-03-26,49.013,49.295,48.499,49.186
2010-03-29,49.335,50.183,49.136,50.047
2010-03-30,49.993,50.066,49.683,49.867
2010-03-31,50.081,50.396,49.796,50.018
2010-04-01,49.978,51.091,49.852,50.684
2010-04-02,50.503,50.769,50.454,50.716
2010-04-05,51.008,51.51,50.79,51.456
2010-04-06,51.46,51.872,51.058,51.43
2010-04-07,51.563,52.214,51.337,52.066
2010-04-08,52.156,52.452,51.812,52.043
2010-04-09,52.225,53.218,52.055,52.761
2010-04-12,52.802,52.958,52.099,52.329
2010-04-13,51.554,52.106,51.346,51.598
2010-04-14,51.9,52.292,51.715,51.996
2010-04-15,52.066,52.56,51.902,52.395
2010-04-16,52.253,52.631,50.838,51.07
2010-04-19,50.961,51.348,50.692,51.18
2010-04-20,51.418,51.975,51.41,51.629
2010-04-21,51.883,52.28,51.32,52.189
2010-04-22,52.264,52.637,51.899,52.5
2010-04-23,52.667,52.969,52.179,52.807
2010-04-26,53.293,53.501,53.002,53.213
2010-04-27,53.031,54.14,52.902,53.729
2010-04-28,54.023,54.586,53.009,53.923
2010-04-29,53.457,54.199,53.357,54.177
2010-04-30,54.459,55.247,54.215,54.943
2010-05-03,54.871,56.172,54.806,56.085
2010-05-04,55.574,56.62,54.677,54.787
2010-05-05,54.954,55.619,54.36,55.058
2010-05-06,55.595,57.529,55.557,57.242
2010-05-07,57.922,60.586,56.609,60.183
2010-05-10,57.612,58.074,55.496,57.982
2010-05-11,58.408,60.911,58.136,60.612
2010-05-12,61.377,61.963,60.309,61.503
2010-05-13,60.704,62.143,60.458,61.044
2010-05-14,61.304,63.453,60.981,61.539
2010-05-17,63.187,63.378,61.161,61.761
2010-05-18,61.385,62.074,59.982,61.982
2010-05-19,62.139,62.754,60.11,60.488
2010-05-20,59.983,60.815,59.01,59.495
2010-05-21,58.299,58.793,57.508,58.087
2010-05-24,58.69,59.679,58.573,59.486
2010-05-25,59.486,60.649,59.117,60.025
2010-05-26,60.585,61.974,60.401,61.261
2010-05-27,61.04,61.592,60.324,60.692
2010-05-28,60.799,60.973,60.165,60.562
