Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,4253.9,4295.8,4224.6,4272.1
2010-01-05,4266.4,4360.3,4265.7,4343.5
2010-01-06,4373,4436.4,4362.8,4394.7
2010-01-07,4424.8,4458.9,4389.5,4443.5
2010-01-08,4415,4484.7,4402.4,4412.9
2010-01-11,4385.4,4449.3,4367.1,4446.4
2010-01-12,4508.9,4559.4,4424,4424.7
2010-01-13,4423.4,4423.7,4324.4,4379.2
2010-01-14,4394.6,4497.3,4373.7,4468.1
2010-01-15,4499.1,4518.6,4471.7,4491.7
2010-01-18,4548.3,4562.8,4502.5,4518.2
2010-01-19,4557.4,4593.6,4541,4568.9
2010-01-20,4636.2,4645,4557.1,4629.6
2010-01-21,4656.5,4674.1,4574.5,4604.3
2010-01-22,4507.2,4521.7,4398.9,4423.4
2010-01-25,4497.6,4497.6,4395.1,4436.8
2010-01-26,4413.8,4439.7,4364.5,4404.3
2010-01-27,4388.8,4451.7,4342.3,4343.1
2010-01-28,4379,4425.8,4337.6,4358.3
2010-01-29,4394.2,4405.7,4345.7,4357.4
2010-02-01,4405.1,4405.3,4342,4389.8
2010-02-02,4401.3,4480.7,4384.5,4475.2
2010-02-03,4482.6,4542.3,4464.3,4518
2010-02-04,4499.7,4537.1,4475.4,4504.2
2010-02-05,4391.6,4438.8,4369,4426.1
2010-02-08,4436.6,4453.7,4390.9,4408.4
2010-02-09,4411.3,4462.3,4388.8,4418.8
2010-02-10,4421,4494.1,4379.3,4458
2010-02-11,4441.3,4472.1,4399.1,4439.6
2010-02-12,4446.8,4476.8,4410.1,4446
2010-02-15,4444.9,4481,4438.8,4476.5
2010-02-16,4487.7,4505.8,4417.9,4432.4
2010-02-17,4456.8,4500.9,4420.5,4474.2
2010-02-18,4412.1,4496.7,4392.2,4448.4
2010-02-19,4462.4,4516.5,4439.7,4512
2010-02-22,4460.7,4495.1,4417.2,4444.6
2010-02-23,4456.1,4477.7,4411.2,4450.3
2010-02-24,4471.2,4471.2,4397,4415.2
2010-02-25,4460.2,4503.6,4429.8,4482.7
2010-02-26,4477.1,4501.4,4414.5,4451.3
2010-03-01,4465.3,4525.7,4429.9,4462.5
2010-03-02,4487.2,4536.3,4480.3,4514.3
2010-03-03,4511.8,4545.4,4482,4498.3
2010-03-04,4468.4,4534.1,4464.1,4531.3
2010-03-05,4514.9,4523.7,4467.5,4493.2
2010-03-08,4476.9,4557.6,4460,4513.9
2010-03-09,4505.7,4550.8,4492.9,4526.4
2010-03-10,4561.1,4599.2,4480.2,4502.7
2010-03-11,4519.4,4589.9,4495.6,4589.9
2010-03-12,4575.5,4596.3,4511.4,4523.9
2010-03-15,4532.3,4600.2,4519.1,4592
2010-03-16,4615.1,4617.9,4561.7,4591
2010-03-17,4565.8,4605.7,4556.5,4576.8
2010-03-18,4594.9,4645.7,4593.6,4623
2010-03-19,4621.9,4649.9,4590.3,4619.8
2010-03-22,4615.6,4615.6,4561,4579.9
2010-03-23,4615.7,4627.5,4569.6,4611.1
2010-03-24,4631,4636,4584.5,4585.8
2010-03-25,4589.8,4667.9,4585.1,4657.2
2010-03-26,4672.7,4675.5,4614.6,4647.8
2010-03-29,4641.9,4667.8,4611.8,4666.8
2010-03-30,4659.6,4673.7,4638.1,4663.6
2010-03-31,4713.5,4727.4,4663.7,4664.7
2010-04-01,4688.5,4742,4667.5,4719.8
2010-04-05,4775.9,4845.3,4755.7,4837.9
2010-04-06,4831.5,4891.6,4789.3,4858.5
2010-04-07,4916.3,4941,4888.8,4916.2
2010-04-08,4908.2,4935.6,4895,4924
2010-04-09,4936.8,4976.1,4900.6,4942.5
2010-04-12,4926.8,4931.8,4880.4,4923
2010-04-13,4870.9,4889.6,4854.3,4879.8
2010-04-14,4886.4,4907.3,4864.2,4872.7
2010-04-15,4869.3,4906.4,4857.2,4885
2010-04-16,4906.8,4914.7,4849,4857.1
2010-04-19,4831.5,4902.9,4825.4,4893.5
2010-04-20,4899.7,4960.5,4884.5,4940
2010-04-21,4970.9,5013.1,4961,4993.2
2010-04-22,5046.8,5067.8,5012.4,5066.8
2010-04-23,5066.6,5085.4,5028.9,5045
2010-04-26,5070.7,5102.9,5048.1,5054.8
2010-04-27,5073.2,5118.4,5042.6,5069.7
2010-04-28,5132.8,5153,5032.6,5082.4
2010-04-29,5063.3,5097.9,5026.5,5085.8
2010-04-30,5105.5,5146.3,5071.2,5127.3
2010-05-03,5104.4,5145.7,5094.2,5136.6
2010-05-04,5115.4,5193.4,5112.3,5158.5
2010-05-05,5193.8,5227.6,5118.7,5197.4
2010-05-06,5290.9,5478.5,5290,5418.8
2010-05-07,5462.6,5544.4,5296.5,5402.4
2010-05-10,5250.7,5300.6,5138.6,5288.7
2010-05-11,5327.8,5390.3,5290.4,5331.6
2010-05-12,5394.8,5473.9,5314.3,5447.8
2010-05-13,5385.3,5473.4,5375.3,5428
2010-05-14,5432.3,5579,5406.9,5502
2010-05-17,5582.3,5602.7,5401.7,5438.8
2010-05-18,5440.8,5500.5,5359.6,5500.5
2010-05-19,5489.9,5518.6,5293.9,5330.2
2010-05-20,5294.8,5319.3,5008.8,5025
2010-05-21,4897.4,4975,4873.4,4923.7
2010-05-24,4954.7,5075.2,4951.8,5037
2010-05-25,5020.2,5108.9,5004.2,5040.7
2010-05-26,5075.4,5170.3,5064.9,5118.1
2010-05-27,5159.3,5172.5,5084.5,5104.1
2010-05-28,5123.9,5162.5,5072.7,5094.7
2010-05-31,5152,5196.4,5128.8,5176.8
2010-06-01,5184.8,5269.2,5162.6,5172.1
2010-06-02,5202.3,5204.9,5126.8,5163
2010-06-03,5160,5237.4,5138.1,5195.8
2010-06-04,5187.4,5327.6,5167.1,5283.3
